"RN";"НАИМЕНОВАНИЕ";"ОСТАТОК";"РЕЗЕРВ";"ЗАКАЗ";"ЦЕНА РУБ";"РАСПР";"ПРОИСХ";"СЕЗОН";"МАРКА";"МОДЕЛЬ";"ДИАМ";"ШИР";"ПРОФ";"ШИП";"СКОР";"КОД ПРОИЗВ";"РРЦ"
86282044720;"Cargo S  SATOYA  185/75/16  R  Ш.104/102 C";0;1;;3200;"Нет";"Отечка";"Всесезонная";"SATOYA";"Cargo S";"16";"185";"75";"Ш.";"R";;3400
86241378812;"Cargo S  SATOYA  185/75/16  R 104/102 C";0;40;;2900;"Нет";"Отечка";"Всесезонная";"SATOYA";"Cargo S";"16";"185";"75";"_";"R";;3200
86387721066;"HIFLY  185/65/14  T 86 Win-ture  н/ш.";1;0;;1800;"Нет";"Импорт";"Зимняя";"HIFLY";"Win-ture";"14";"185";"65";"н/ш.";"T";;
86179222163;"LTA-401  Росава  7.50/80/16 C";40;40;;6300;"Нет";"Отечка";"Всесезонная";"Росава";"LTA-401";"16";"7.50";"80";"_";"@скорость рез.";;6930
86245922342;"MR-200  MIRAGE  195/70/15  R 104/102 C";1;0;;2130;"Нет";"Отечка";"Летняя";"MIRAGE";"MR-200";"15";"195";"70";"_";"R";;2340
86500176141;"NEXEN  175/65/14  Q 82 WIN-ICE";28;0;;1883;"Нет";"Импорт";"Зимняя";"NEXEN";"WIN-ICE";"14";"175";"65";"_";"Q";"11143NX";
86500140834;"NEXEN  175/65/14  T 86 WINSPIKE XL  Ш.";40;0;;1869;"Нет";"Импорт";"Зимняя";"NEXEN";"WINSPIKE XL";"14";"175";"65";"Ш.";"T";"11814NX";
86500176916;"NEXEN  175/70/13  Q 82 WIN-ICE";40;0;;1781;"Нет";"Импорт";"Зимняя";"NEXEN";"WIN-ICE";"13";"175";"70";"_";"Q";"11806NX";
86500133380;"NEXEN  175/70/14  T 84 WINSPIKE  Ш.";40;4;;1865;"Нет";"Импорт";"Зимняя";"NEXEN";"WINSPIKE";"14";"175";"70";"Ш.";"T";"11831NX";
86500144662;"NEXEN  185/55/15  T 86 WINSPIKE XL  Ш.";4;0;;2897;"Нет";"Импорт";"Зимняя";"NEXEN";"WINSPIKE XL";"15";"185";"55";"Ш.";"T";"12270NX";
